route_key	verb	path	controller	action	environment	owner	disposition
GET|/api/v1/memberships/autocomplete|api/v1/memberships|index	GET	/api/v1/memberships/autocomplete	api/v1/memberships	index	production	first_party_production	migrate
GET|/api/v1/memberships/for_user|api/v1/memberships|for_user	GET	/api/v1/memberships/for_user	api/v1/memberships	for_user	production	first_party_production	migrate
GET|/api/v1/memberships/invitables|api/v1/memberships|invitables	GET	/api/v1/memberships/invitables	api/v1/memberships	invitables	production	first_party_production	migrate
GET|/api/v1/memberships/my_memberships|api/v1/memberships|my_memberships	GET	/api/v1/memberships/my_memberships	api/v1/memberships	my_memberships	production	first_party_production	migrate
GET|/api/v1/memberships/undecided|api/v1/memberships|undecided	GET	/api/v1/memberships/undecided	api/v1/memberships	undecided	production	first_party_production	migrate
GET|/api/v1/memberships|api/v1/memberships|index	GET	/api/v1/memberships	api/v1/memberships	index	production	first_party_production	migrate
GET|/api/v1/mentions|api/v1/mentions|index	GET	/api/v1/mentions	api/v1/mentions	index	production	first_party_production	migrate
GET|/api/v1/notifications|api/v1/notifications|index	GET	/api/v1/notifications	api/v1/notifications	index	production	first_party_production	migrate
GET|/api/v1/poll_templates/:id|api/v1/poll_templates|show	GET	/api/v1/poll_templates/:id	api/v1/poll_templates	show	production	first_party_production	migrate
GET|/api/v1/poll_templates/browse|api/v1/poll_templates|browse	GET	/api/v1/poll_templates/browse	api/v1/poll_templates	browse	production	first_party_production	migrate
GET|/api/v1/poll_templates|api/v1/poll_templates|index	GET	/api/v1/poll_templates	api/v1/poll_templates	index	production	first_party_production	migrate
GET|/api/v1/polls/:id/receipts|api/v1/polls|receipts	GET	/api/v1/polls/:id/receipts	api/v1/polls	receipts	production	first_party_production	migrate
GET|/api/v1/polls/:id/voters|api/v1/polls|voters	GET	/api/v1/polls/:id/voters	api/v1/polls	voters	production	first_party_production	migrate
GET|/api/v1/polls/:id|api/v1/polls|show	GET	/api/v1/polls/:id	api/v1/polls	show	production	first_party_production	migrate
GET|/api/v1/polls/closed|api/v1/polls|closed	GET	/api/v1/polls/closed	api/v1/polls	closed	production	first_party_production	migrate
GET|/api/v1/polls|api/v1/polls|index	GET	/api/v1/polls	api/v1/polls	index	production	first_party_production	migrate
GET|/api/v1/profile/:id|api/v1/profile|show	GET	/api/v1/profile/:id	api/v1/profile	show	production	first_party_production	migrate
GET|/api/v1/profile/all_time_zones|api/v1/profile|all_time_zones	GET	/api/v1/profile/all_time_zones	api/v1/profile	all_time_zones	production	first_party_production	migrate
GET|/api/v1/profile/avatar_uploaded|api/v1/profile|avatar_uploaded	GET	/api/v1/profile/avatar_uploaded	api/v1/profile	avatar_uploaded	production	first_party_production	migrate
GET|/api/v1/profile/contactable|api/v1/profile|contactable	GET	/api/v1/profile/contactable	api/v1/profile	contactable	production	first_party_production	migrate
GET|/api/v1/profile/email_api_key|api/v1/profile|email_api_key	GET	/api/v1/profile/email_api_key	api/v1/profile	email_api_key	production	first_party_production	migrate
GET|/api/v1/profile/email_exists|api/v1/profile|email_exists	GET	/api/v1/profile/email_exists	api/v1/profile	email_exists	production	first_party_production	migrate
GET|/api/v1/profile/email_status|api/v1/profile|email_status	GET	/api/v1/profile/email_status	api/v1/profile	email_status	production	first_party_production	migrate
GET|/api/v1/profile/groups|api/v1/profile|groups	GET	/api/v1/profile/groups	api/v1/profile	groups	production	first_party_production	migrate
GET|/api/v1/profile/me|api/v1/profile|me	GET	/api/v1/profile/me	api/v1/profile	me	production	first_party_production	migrate
GET|/api/v1/profile/time_zones|api/v1/profile|time_zones	GET	/api/v1/profile/time_zones	api/v1/profile	time_zones	production	first_party_production	migrate
GET|/api/v1/profile|api/v1/profile|index	GET	/api/v1/profile	api/v1/profile	index	production	first_party_production	migrate
GET|/api/v1/reactions|api/v1/reactions|index	GET	/api/v1/reactions	api/v1/reactions	index	production	first_party_production	migrate
GET|/api/v1/received_emails/aliases|api/v1/received_emails|aliases	GET	/api/v1/received_emails/aliases	api/v1/received_emails	aliases	production	first_party_production	migrate
GET|/api/v1/received_emails|api/v1/received_emails|index	GET	/api/v1/received_emails	api/v1/received_emails	index	production	first_party_production	migrate
GET|/api/v1/reports|api/v1/reports|index	GET	/api/v1/reports	api/v1/reports	index	production	first_party_production	migrate
GET|/api/v1/search|api/v1/search|index	GET	/api/v1/search	api/v1/search	index	production	first_party_production	migrate
GET|/api/v1/sessions/unauthorized|api/v1/sessions|unauthorized	GET	/api/v1/sessions/unauthorized	api/v1/sessions	unauthorized	production	first_party_production	migrate
GET|/api/v1/stances/invite|api/v1/stances|invite	GET	/api/v1/stances/invite	api/v1/stances	invite	production	first_party_production	migrate
GET|/api/v1/stances/my_stances|api/v1/stances|my_stances	GET	/api/v1/stances/my_stances	api/v1/stances	my_stances	production	first_party_production	migrate
GET|/api/v1/stances/users|api/v1/stances|users	GET	/api/v1/stances/users	api/v1/stances	users	production	first_party_production	migrate
GET|/api/v1/stances|api/v1/stances|index	GET	/api/v1/stances	api/v1/stances	index	production	first_party_production	migrate
GET|/api/v1/tasks|api/v1/tasks|index	GET	/api/v1/tasks	api/v1/tasks	index	production	first_party_production	migrate
GET|/api/v1/topic_readers|api/v1/topic_readers|index	GET	/api/v1/topic_readers	api/v1/topic_readers	index	production	first_party_production	migrate
GET|/api/v1/topics/:id/history|api/v1/topics|history	GET	/api/v1/topics/:id/history	api/v1/topics	history	production	first_party_production	migrate
GET|/api/v1/topics/:id/markdown|api/v1/topics|markdown	GET	/api/v1/topics/:id/markdown	api/v1/topics	markdown	production	first_party_production	migrate
GET|/api/v1/topics|api/v1/topics|index	GET	/api/v1/topics	api/v1/topics	index	production	first_party_production	migrate
GET|/api/v1/translations/inline|api/v1/translations|inline	GET	/api/v1/translations/inline	api/v1/translations	inline	production	first_party_production	migrate
GET|/api/v1/versions|api/v1/versions|show	GET	/api/v1/versions	api/v1/versions	show	production	first_party_production	migrate
GET|/api/v1/webhooks|api/v1/webhooks|index	GET	/api/v1/webhooks	api/v1/webhooks	index	production	mounted_engine	review
GET|/apps/authorized|application|index	GET	/apps/authorized	application	index	production	first_party_production	migrate
GET|/apps/registered/:id/:slug|application|index	GET	/apps/registered/:id/:slug	application	index	production	first_party_production	migrate
GET|/apps/registered/:id|application|index	GET	/apps/registered/:id	application	index	production	first_party_production	migrate
GET|/apps/registered|application|index	GET	/apps/registered	application	index	production	first_party_production	migrate
GET|/c/:id|comments|redirect	GET	/c/:id	comments	redirect	production	first_party_production	migrate
GET|/contact_messages/new|contact_messages|new	GET	/contact_messages/new	contact_messages	new	production	mounted_engine	review
GET|/contact_messages|contact_messages|show	GET	/contact_messages	contact_messages	show	production	mounted_engine	review
GET|/contact|application|index	GET	/contact	application	index	production	first_party_production	migrate
GET|/crowdfunding_celebration|application|crowdfunding	GET	/crowdfunding_celebration	application	crowdfunding	production	first_party_production	migrate
GET|/crowdfunding|application|crowdfunding	GET	/crowdfunding	application	crowdfunding	production	first_party_production	migrate
GET|/d/:key(/:slug)(/:sequence_id)|discussions|show	GET	/d/:key(/:slug)(/:sequence_id)	discussions	show	production	first_party_production	migrate
GET|/d/:key/export|discussions|export	GET	/d/:key/export	discussions	export	production	first_party_production	migrate
GET|/d/new|application|index	GET	/d/new	application	index	production	first_party_production	migrate
GET|/dashboard/:filter|application|index	GET	/dashboard/:filter	application	index	production	first_party_production	migrate
GET|/dashboard/direct_discussions|application|index	GET	/dashboard/direct_discussions	application	index	production	first_party_production	migrate
GET|/dashboard|application|index	GET	/dashboard	application	index	production	first_party_production	migrate
GET|/dev/accept_last_invitation|dev/nightwatch|accept_last_invitation	GET	/dev/accept_last_invitation	dev/nightwatch	accept_last_invitation	development	development_only	review
GET|/dev/discussions/test_all_read|dev/discussions|test_all_read	GET	/dev/discussions/test_all_read	dev/discussions	test_all_read	development	development_only	review
GET|/dev/discussions/test_most_read|dev/discussions|test_most_read	GET	/dev/discussions/test_most_read	dev/discussions	test_most_read	development	development_only	review
GET|/dev/discussions/test_none_read|dev/discussions|test_none_read	GET	/dev/discussions/test_none_read	dev/discussions	test_none_read	development	development_only	review
GET|/dev/discussions/test_sampled_comments|dev/discussions|test_sampled_comments	GET	/dev/discussions/test_sampled_comments	dev/discussions	test_sampled_comments	development	development_only	review
GET|/dev/discussions/test_some_read|dev/discussions|test_some_read	GET	/dev/discussions/test_some_read	dev/discussions	test_some_read	development	development_only	review
GET|/dev/discussions|dev/discussions|index	GET	/dev/discussions	dev/discussions	index	development	development_only	review
GET|/dev/email_settings_as_logged_in_user|dev/nightwatch|email_settings_as_logged_in_user	GET	/dev/email_settings_as_logged_in_user	dev/nightwatch	email_settings_as_logged_in_user	development	development_only	review
GET|/dev/email_settings_as_restricted_user|dev/nightwatch|email_settings_as_restricted_user	GET	/dev/email_settings_as_restricted_user	dev/nightwatch	email_settings_as_restricted_user	development	development_only	review
GET|/dev/last_email|dev/nightwatch|last_email	GET	/dev/last_email	dev/nightwatch	last_email	development	development_only	review
GET|/dev/last_login_code|dev/nightwatch|last_login_code	GET	/dev/last_login_code	dev/nightwatch	last_login_code	development	development_only	review
GET|/dev/nightwatch/accept_last_invitation|dev/nightwatch|accept_last_invitation	GET	/dev/nightwatch/accept_last_invitation	dev/nightwatch	accept_last_invitation	development	development_only	review
GET|/dev/nightwatch/email_settings_as_logged_in_user|dev/nightwatch|email_settings_as_logged_in_user	GET	/dev/nightwatch/email_settings_as_logged_in_user	dev/nightwatch	email_settings_as_logged_in_user	development	development_only	review
GET|/dev/nightwatch/email_settings_as_restricted_user|dev/nightwatch|email_settings_as_restricted_user	GET	/dev/nightwatch/email_settings_as_restricted_user	dev/nightwatch	email_settings_as_restricted_user	development	development_only	review
